iter	Logloss
0	0.6785723326
1	0.665454897
2	0.6538360836
3	0.6433430148
4	0.6340008293
5	0.6255227976
6	0.617860262
7	0.611097416
8	0.6048890736
9	0.5992442895
10	0.5946046774
11	0.5900439526
12	0.585788824
13	0.5821494963
14	0.5787109581
15	0.5756120165
16	0.5731536572
17	0.5706314738
18	0.5682902208
19	0.5661638864
20	0.5642237106
21	0.5624997725
22	0.5611210966
23	0.5599367321
24	0.5586258302
25	0.5574130317
26	0.5562784875
27	0.5551526531
28	0.5541477638
29	0.5531507442
30	0.5523685066
31	0.5515303608
32	0.5508186824
33	0.5501465462
34	0.5495350572
35	0.5490035997
36	0.5484703313
37	0.5479554755
38	0.5474106393
39	0.5469516829
40	0.5465799642
41	0.5461603983
42	0.5457890992
43	0.5454086655
44	0.5451223298
45	0.5448148893
46	0.544461256
47	0.5441395652
48	0.5439122927
49	0.5436203089
50	0.54336373
51	0.5431832463
52	0.542950298
53	0.5427261798
54	0.5425029488
55	0.5422518568
56	0.5420766832
57	0.5418594919
58	0.5417181341
59	0.5416016965
60	0.5414267163
61	0.5412546023
62	0.5411274681
63	0.5410097194
64	0.5408300257
65	0.5406923034
66	0.5405358094
67	0.5404358078
68	0.5402779037
69	0.5401693892
70	0.5400836419
71	0.5398968098
72	0.5397795325
73	0.5396277861
74	0.5395093022
75	0.5394168781
76	0.539315909
77	0.5392115743
78	0.539123332
79	0.5389897726
80	0.5389011248
81	0.5387995141
82	0.5387125192
83	0.5386239977
84	0.538525089
85	0.538442811
86	0.5383553956
87	0.5382670981
88	0.5382102731
89	0.5381380206
90	0.5380340459
91	0.5379458689
92	0.5378442418
93	0.5377832502
94	0.5377128379
95	0.5376793957
96	0.5375903514
97	0.5375441432
98	0.537457805
99	0.5373767431
100	0.537297126
101	0.5372271539
102	0.5371762317
103	0.537109883
104	0.5370375104
105	0.5369464225
106	0.5368926053
107	0.5368271996
108	0.5367530266
109	0.5367063934
110	0.5366370634
111	0.5365998306
112	0.5365504034
113	0.5364866192
114	0.5364137464
115	0.5363455643
116	0.5362817002
117	0.5362194993
118	0.5361542451
119	0.5360789623
120	0.5360449913
121	0.5359886273
122	0.5359202593
123	0.5358689807
124	0.5357781379
125	0.5357085829
126	0.5356640126
127	0.535607098
128	0.5355585556
129	0.535508441
130	0.5354691444
131	0.5353928862
132	0.5353263701
133	0.5352550883
134	0.5351867775
135	0.5351211583
136	0.535067678
137	0.5350230542
138	0.5349639277
139	0.5349299808
140	0.5348767862
141	0.5347939392
142	0.5347521585
143	0.5347018052
144	0.5346660501
145	0.5345836815
146	0.5345521302
147	0.5345123446
148	0.5344734248
149	0.5344407535
150	0.5343894557
151	0.5343229726
152	0.5342886135
153	0.534207993
154	0.5341497521
155	0.5341071109
156	0.5340439909
157	0.5340026665
158	0.5339643592
159	0.5339134891
160	0.5338668762
161	0.5338205412
162	0.5337830574
163	0.5337452332
164	0.5337054106
165	0.5336164526
166	0.5335625345
167	0.5335109696
168	0.5334813403
169	0.5334375151
170	0.5334126611
171	0.5333622768
172	0.533317794
173	0.5332756174
174	0.5332252846
175	0.5332212195
176	0.5331776661
177	0.5331397002
178	0.533093732
179	0.5330364161
180	0.5329902376
181	0.5329494371
182	0.5329066533
183	0.5328649639
184	0.5328222505
185	0.5327864014
186	0.5327355289
187	0.5326782549
188	0.5326324632
189	0.5326064382
190	0.5325673108
191	0.5325374797
192	0.5325113348
193	0.532481358
194	0.5324307274
195	0.532355398
196	0.5322876238
197	0.5322156729
198	0.5321563011
199	0.5321056935
200	0.5320578867
201	0.5320143848
202	0.531951831
203	0.5318757225
204	0.5318137804
205	0.5317827974
206	0.5317463879
207	0.5316986325
208	0.5316805448
209	0.5316243941
210	0.5315802001
211	0.5315039525
212	0.5314350437
213	0.5313994482
214	0.5313558763
215	0.5312902569
216	0.5312547209
217	0.5311735807
218	0.5311465406
219	0.5310877806
220	0.5310344483
221	0.5309857916
222	0.5309069505
223	0.5308564019
224	0.5308035827
225	0.5307762505
226	0.5307267062
227	0.5306675858
228	0.5306207767
229	0.5305769711
230	0.5305426466
231	0.5304782628
232	0.5304387557
233	0.5303853336
234	0.5303644925
235	0.5303081796
236	0.5302662858
237	0.5302167372
238	0.5301844149
239	0.5301134899
240	0.5300648878
241	0.5300096054
242	0.5299576685
243	0.5298920743
244	0.529847195
245	0.5298185739
246	0.5297754139
247	0.5297191732
248	0.5296427214
249	0.5295918299
250	0.5295344995
251	0.5294773436
252	0.5294164435
253	0.5293644223
254	0.5293059708
255	0.5292609671
256	0.5292156682
257	0.5291607996
258	0.5291231827
259	0.5290788247
260	0.5290285993
261	0.5289589102
262	0.5289093156
263	0.5288613098
264	0.5287911065
265	0.5287584133
266	0.5286844168
267	0.528611797
268	0.5285392711
269	0.5284955364
270	0.5284485841
271	0.5284064272
272	0.5283548892
273	0.5283196972
274	0.528270038
275	0.5282202487
276	0.5281626467
277	0.5280871541
278	0.5280450817
279	0.5279949219
280	0.5279552496
281	0.5279283288
282	0.5278691089
283	0.5278289066
284	0.5277817471
285	0.5277213512
286	0.5276525974
287	0.5276052812
288	0.5275460101
289	0.5275245281
290	0.5274878983
291	0.5274439441
292	0.5273862467
293	0.5273368829
294	0.5272734033
295	0.5272134513
296	0.5271545731
297	0.5271092406
298	0.5270590721
299	0.5270115315
300	0.5269660281
301	0.5269163116
302	0.5268667558
303	0.5268351998
304	0.5268159424
305	0.5267694004
306	0.526729893
307	0.5266875361
308	0.5266410354
309	0.5266022742
310	0.5265633736
311	0.5264979091
312	0.5264474807
313	0.5264106812
314	0.5263721342
315	0.5263129863
316	0.5262619595
317	0.5262168684
318	0.5261794989
319	0.5261294881
320	0.5260942144
321	0.5260443598
322	0.5260208065
323	0.5259841556
324	0.5259499691
325	0.5259187432
326	0.5258749441
327	0.5258251557
328	0.5257895175
329	0.5257528251
330	0.5257014162
331	0.5256649554
332	0.5256231091
333	0.5255791671
334	0.5255271584
335	0.5254893798
336	0.5254633649
337	0.525431841
338	0.5253947059
339	0.5253551606
340	0.5253253899
341	0.5252866152
342	0.5252422303
343	0.5251856506
344	0.525148453
345	0.5251023132
346	0.5250442313
347	0.5249859102
348	0.5249263936
349	0.5248748676
350	0.524825751
351	0.5247675443
352	0.5247124728
353	0.5246707142
354	0.5246060732
355	0.5245706034
356	0.5245363918
357	0.524491308
358	0.5244347907
359	0.5243846879
360	0.5243364808
361	0.5242945984
362	0.524231381
363	0.5241819629
364	0.5241364235
365	0.5241004412
366	0.5240487873
367	0.5239918163
368	0.5239449709
369	0.5238958768
370	0.5238483001
371	0.5238038438
372	0.5237669921
373	0.5237364342
374	0.523701622
375	0.5236657792
376	0.5236004852
377	0.5235615424
378	0.5235138984
379	0.5234781942
380	0.5234085961
381	0.5233750363
382	0.5233072479
383	0.5232596296
384	0.5232156654
385	0.5231725205
386	0.5231110566
387	0.5230753339
388	0.5230136817
389	0.5229793074
390	0.5229343716
391	0.522899861
392	0.5228512557
393	0.5228005023
394	0.522750032
395	0.5226974237
396	0.5226279981
397	0.5225844496
398	0.5225419142
399	0.5225032086
