iter	Logloss
0	0.6786814319
1	0.6657549419
2	0.6539419403
3	0.6435011959
4	0.6343440258
5	0.6261248829
6	0.6183503323
7	0.6117999625
8	0.6055149795
9	0.5997577381
10	0.5950080516
11	0.5902656356
12	0.5861501829
13	0.5822759847
14	0.5788577897
15	0.5760979736
16	0.5734018091
17	0.5710086591
18	0.5688189784
19	0.5669338478
20	0.5649633593
21	0.5631300374
22	0.5616430927
23	0.5600628001
24	0.558657193
25	0.5574202345
26	0.5563474599
27	0.5553361935
28	0.5542570659
29	0.5533610307
30	0.5525569001
31	0.5517309663
32	0.5510714855
33	0.5504464053
34	0.5498878185
35	0.5492586383
36	0.5486974571
37	0.5481453974
38	0.5476549511
39	0.5471553801
40	0.5467193094
41	0.5463619566
42	0.5459339746
43	0.5456035717
44	0.545339988
45	0.5450466059
46	0.5446706184
47	0.5443917933
48	0.5441343782
49	0.5438856609
50	0.5436304881
51	0.5433636581
52	0.5431358596
53	0.5429522956
54	0.5427559037
55	0.5425270713
56	0.542280193
57	0.5420943519
58	0.5418685992
59	0.5416825633
60	0.5414862363
61	0.541286159
62	0.5411391114
63	0.5409858601
64	0.5408192182
65	0.540686959
66	0.5405643475
67	0.5404589039
68	0.5402962079
69	0.5401868226
70	0.5400424979
71	0.5399249086
72	0.5397956301
73	0.539674541
74	0.5395415092
75	0.53945321
76	0.5393564073
77	0.5392654803
78	0.5391607125
79	0.5390685151
80	0.538967891
81	0.5389155861
82	0.5388228196
83	0.5387315753
84	0.5386685398
85	0.5386268748
86	0.5385505996
87	0.5384791515
88	0.5383674229
89	0.5382952318
90	0.5382325418
91	0.5381546214
92	0.538081623
93	0.5379986627
94	0.5379065755
95	0.5378540673
96	0.5378074121
97	0.5377447189
98	0.5376722597
99	0.537610342
100	0.5375492351
101	0.5374693624
102	0.5374254099
103	0.5373493572
104	0.5372893198
105	0.5371981657
106	0.5371251895
107	0.5370549367
108	0.5369914069
109	0.5369402624
110	0.5368913066
111	0.5368529905
112	0.536800699
113	0.5367067881
114	0.5366647157
115	0.5365794306
116	0.5365059932
117	0.5364663023
118	0.5364031421
119	0.5363325211
120	0.5363145742
121	0.5362708316
122	0.5362276377
123	0.5361506623
124	0.5360855375
125	0.5360813269
126	0.5359929995
127	0.5359582883
128	0.5359208033
129	0.5358786556
130	0.535833615
131	0.5357744251
132	0.535738629
133	0.5356769675
134	0.5356465974
135	0.5356051189
136	0.5355485065
137	0.5354751002
138	0.535434082
139	0.535391882
140	0.535342212
141	0.5353028411
142	0.5352815723
143	0.535249055
144	0.535223607
145	0.5351993693
146	0.5351514397
147	0.5351141784
148	0.5350719854
149	0.5350242979
150	0.5349905336
151	0.534922738
152	0.5348790154
153	0.5348448428
154	0.5347862394
155	0.5347141294
156	0.5346446071
157	0.5345983303
158	0.5345673327
159	0.5345172033
160	0.5344453232
161	0.534383826
162	0.5343339259
163	0.5342971847
164	0.5342431388
165	0.5342099382
166	0.5341709349
167	0.5340902178
168	0.5340291811
169	0.5339903786
170	0.5339442979
171	0.5338743263
172	0.5338084607
173	0.5337661476
174	0.5337103397
175	0.5336560337
176	0.5336057772
177	0.5335803185
178	0.533559187
179	0.533508719
180	0.5334785739
181	0.5334284963
182	0.5334008448
183	0.5333779631
184	0.5333282602
185	0.5332602544
186	0.5332027303
187	0.533135572
188	0.5330629493
189	0.5330384302
190	0.5329942185
191	0.5329434041
192	0.5329223884
193	0.5328906687
194	0.5328635171
195	0.5328155508
196	0.5327756034
197	0.5327504152
198	0.5327077071
199	0.5326503338
200	0.5326136964
201	0.5325754581
202	0.5325520429
203	0.5324891194
204	0.5324401757
205	0.5324152968
206	0.5323731304
207	0.5323347788
208	0.5322881834
209	0.5322586986
210	0.5322240644
211	0.532170695
212	0.5321454469
213	0.5321040841
214	0.5320680118
215	0.5320158404
216	0.5319910036
217	0.5319256985
218	0.5318662572
219	0.5318295984
220	0.5317813873
221	0.5317192271
222	0.5316685703
223	0.5316209208
224	0.5315762696
225	0.5315465533
226	0.5314967219
227	0.5314501511
228	0.53140751
229	0.5313669724
230	0.5313182983
231	0.5312830676
232	0.5312508451
233	0.5312151039
234	0.531176562
235	0.531143656
236	0.5310965856
237	0.5310590987
238	0.5310291773
239	0.5309781188
240	0.5309437837
241	0.5308992578
242	0.5308493276
243	0.5307932158
244	0.5307448388
245	0.5306850795
246	0.5306405201
247	0.5305932695
248	0.5305221406
249	0.5304829456
250	0.5304235586
251	0.5303672877
252	0.530332161
253	0.5302948819
254	0.5302566231
255	0.5302090271
256	0.530181436
257	0.5301435271
258	0.5300819877
259	0.5300358653
260	0.5299958571
261	0.5299537111
262	0.5299226726
263	0.5298816568
264	0.5298323143
265	0.5297903037
266	0.5297584208
267	0.5297171704
268	0.5296789834
269	0.5296378705
270	0.5295821617
271	0.5295433957
272	0.5295039341
273	0.5294581476
274	0.5293924457
275	0.5293638098
276	0.5293269424
277	0.5292909953
278	0.5292473511
279	0.529192286
280	0.5291487777
281	0.5291187698
282	0.5290962946
283	0.5290403581
284	0.5289871498
285	0.5289437998
286	0.5289083063
287	0.5288568329
288	0.5288081496
289	0.5287541983
290	0.5287260592
291	0.5286716719
292	0.5286201367
293	0.5285903998
294	0.5285625929
295	0.5285140771
296	0.5284859599
297	0.5284398143
298	0.5283843888
299	0.5283462611
300	0.5282923519
301	0.5282559902
302	0.5282111325
303	0.5281798577
304	0.5281375795
305	0.5281153326
306	0.5280884744
307	0.5280571125
308	0.5280017778
309	0.5279691011
310	0.5279343916
311	0.5278849257
312	0.5278636501
313	0.5278340216
314	0.5277743438
315	0.5277200658
316	0.5276668616
317	0.527623205
318	0.5275697377
319	0.5275157419
320	0.5274737035
321	0.5274145844
322	0.52737079
323	0.5273274456
324	0.527279881
325	0.527227854
326	0.5271740901
327	0.5271159201
328	0.5270819653
329	0.5270483037
330	0.5269957629
331	0.5269428241
332	0.5269088565
333	0.5268732222
334	0.5268172832
335	0.5267880838
336	0.5267334087
337	0.5266745321
338	0.5266488347
339	0.5266078155
340	0.5265665411
341	0.5265370414
342	0.5264863635
343	0.5264396753
344	0.5264064991
345	0.526363259
346	0.5263157805
347	0.5262763759
348	0.5262373351
349	0.5261916557
350	0.5261449867
351	0.5261028637
352	0.5260565878
353	0.5260105536
354	0.525970194
355	0.5259261285
356	0.5258923059
357	0.5258606946
358	0.5258215835
359	0.5257877292
360	0.5257524053
361	0.5257115362
362	0.5256709875
363	0.5256367656
364	0.5256004376
365	0.5255501788
366	0.5255177029
367	0.5254522867
368	0.5254268566
369	0.525397711
370	0.5253559312
371	0.5253119877
372	0.5252825412
373	0.5252353313
374	0.5251987709
375	0.5251666853
376	0.525123296
377	0.525092674
378	0.5250574561
379	0.5250168184
380	0.5249668638
381	0.524905345
382	0.5248756281
383	0.5248299101
384	0.5247902337
385	0.5247435323
386	0.5247256811
387	0.52468758
388	0.5246395206
389	0.524597723
390	0.5245450111
391	0.5244961249
392	0.5244464556
393	0.5243918602
394	0.5243498973
395	0.5243243706
396	0.5242907814
397	0.5242417376
398	0.5241981416
399	0.5241478109
